date,AAPL,AMZN,GOOGL,JPM,MSFT,NVDA,PFE,XOM
2015-12-30,0.015003225735854322,0.015306579066067878,0.01262914771031368,0.014848709485483124,0.013088201900462613,0.01499710484987157,0.013824553522317314,0.016747136011453348
2015-12-31,0.015326750032744514,0.01571269235430765,0.012950653424636463,0.014893492096021612,0.013086183552227026,0.015274782223011306,0.013979347332328293,0.016629290684681868
2016-01-04,0.01393051631125021,0.018130619408326366,0.013320608351398979,0.01582937343949641,0.013007423121735967,0.015340510411872014,0.013833928865284693,0.01653866388449913
2016-01-05,0.014122684257581607,0.01813974886225948,0.01332960313094654,0.015816491364544324,0.013025829830870774,0.015567841796638483,0.012750189484898934,0.016612851860679435
2016-01-06,0.01426577026015667,0.017994968518838205,0.012653908255506394,0.01598187162958931,0.013450261935697512,0.017395807093684507,0.01314213981252901,0.01663947673847002
2016-01-07,0.015715598605229104,0.01892252210061295,0.013357859503969295,0.01739501022627686,0.014874144826291682,0.01867837969398393,0.01226492698790493,0.016809043759080204
2016-01-08,0.01558245246016949,0.01886417173570806,0.013471613216105575,0.017734918593474223,0.014888732825252523,0.01898519980921781,0.01186196682739014,0.01663348261674259
2016-01-11,0.01612992868616037,0.019171329008190484,0.013496318109222008,0.01771427429689976,0.01478637589753114,0.0189941842354757,0.010539056257847653,0.016722027531183105
2016-01-12,0.01654222723810179,0.01917917770494075,0.013876781255046374,0.01767849030811815,0.014868634146473894,0.019206903618375334,0.010538745862997448,0.017264560221907786
2016-01-13,0.016847540074518667,0.021658648211145274,0.015056170866761245,0.0181778522282275,0.01525912629970995,0.01979920940167289,0.011062490009970371,0.01727566036507943
2016-01-14,0.01760990302843053,0.021571705066132412,0.014438683701390944,0.018216316662686468,0.01591024433948423,0.018905565724014934,0.010926138265066587,0.019383655015458814
2016-01-15,0.017928249412378895,0.022457761553889136,0.015197245916906625,0.018350184604942935,0.017408140523816007,0.02100647479287752,0.010424156597563319,0.019003835040299455
2016-01-19,0.01791700926142338,0.02251158465936321,0.015326562227438799,0.018305907857687046,0.01719138568976566,0.021151290370256304,0.010121882360590582,0.019026311981020092
2016-01-20,0.01641063107101979,0.022349827946563164,0.015013722496657235,0.01737428974104636,0.016032864085454897,0.019405671330215698,0.009752157583633694,0.020425383133105927
2016-01-21,0.016413329775546385,0.022437059921513458,0.015186161115388152,0.01733250799879433,0.0160403151821625,0.019539733138296336,0.00974472891282653,0.02008735365736468
2016-01-22,0.01970583826820339,0.023548762844100537,0.015996652085162173,0.018500756095320415,0.017553960681676615,0.019949155484756138,0.009806964508074672,0.020351111707265213
2016-01-25,0.019634548348838682,0.02339763694351767,0.01598511001821664,0.0187836297357348,0.017455192753763393,0.01959783126019028,0.009797005163703168,0.021173110294547492
2016-01-26,0.019648079831859636,0.0234872784951065,0.01598188544056755,0.019565961752127173,0.017488225320455526,0.019635787404903966,0.00986470574593696,0.022241724978180596
2016-01-27,0.02229368150700722,0.023330579846225184,0.01630768453787023,0.0192414147348148,0.017354544526060528,0.019588309994990737,0.009781458308424786,0.022257657209757833
2016-01-28,0.022425599460629494,0.028273740983953966,0.017939617988140977,0.019255681768692752,0.017208947946545664,0.019580711949909718,0.009858423198745345,0.022252407307719126
2016-01-29,0.023465078860004446,0.03143340995835662,0.018224833395780852,0.01992708399821955,0.020409817416358784,0.02132939493486052,0.010055429211231162,0.02075421536129503
2016-02-01,0.02337969740543382,0.031084982169162237,0.017922402531579333,0.019399595392270198,0.02019861704107944,0.021264374615418195,0.009922749747117168,0.021055054483224225
